Price,Close,High,Low,Open,Volume
10/9/2019,54.56263351,54.74528471,54.22857181,54.56263351,74770400
10/10/2019,55.29806137,55.38217915,54.62753583,54.77894269,113013600
10/11/2019,56.76888657,57.11255995,55.83158852,55.98540103,166795600
10/14/2019,56.68717194,57.23032522,56.39877394,56.45404934,96427600
10/15/2019,56.55498505,57.11495594,56.44923827,56.81213864,87360000
10/16/2019,56.32667542,56.53576699,56.04548709,56.08634313,73903200
10/17/2019,56.54538345,56.75447138,56.12239992,56.49971973,67585200
10/18/2019,56.81695557,57.0981439,56.30744864,56.37954905,97433600
10/21/2019,57.80231476,57.91767689,57.03565787,57.0837236,87247200
10/22/2019,57.67014313,58.20848516,57.58842735,57.95854117,82293600
10/23/2019,58.44400406,58.45842708,57.97295483,58.18444841,75828800
10/24/2019,58.54013824,58.83334392,58.11474907,58.76364551,69275200
10/25/2019,59.26113129,59.29717966,58.37190263,58.43919537,73477200
10/28/2019,59.85477066,59.9028364,59.29479586,59.46302777,96572800
10/29/2019,58.47043991,60.02298808,58.29740404,59.83552919,142839600
10/30/2019,58.46322632,58.9535062,57.9705481,58.82372472,124522000
10/31/2019,59.78505325,59.88359036,57.02123219,59.41975085,139162000
11/1/2019,61.48179245,61.50822547,59.88117893,59.97250268,151125200
11/4/2019,61.88555908,61.96967684,61.37605585,61.84469937,103272000
11/5/2019,61.79664612,62.05139777,61.60197754,61.77741543,79897600
11/6/2019,61.82307053,61.88315359,61.37365036,61.71011407,75864400
11/7/2019,62.53659439,62.75836715,62.21840156,62.37026666,94940400
11/8/2019,62.70774078,62.78005398,61.9146717,62.35820982,69986400
11/11/2019,63.20431519,63.26939707,62.25938096,62.26419939,81821200
11/12/2019,63.14646149,63.34654029,62.89577079,63.04762853,87388800
11/13/2019,63.75151062,63.82623672,62.93192902,62.94639166,102734400
11/14/2019,63.31037903,63.85033723,63.18020791,63.57794524,89182800
11/15/2019,64.06244659,64.06726502,63.39954879,63.56105068,100206400
11/18/2019,64.38547516,64.46501968,63.69365189,64.07210079,86703200
11/19/2019,64.19021606,64.60241599,63.97326912,64.57830914,76167200
11/20/2019,63.4429512,64.13959287,62.77040903,64.00942911,106234400
11/21/2019,63.15851212,63.64061974,62.95843333,63.56348076,121395200
11/22/2019,63.10307693,63.44055086,62.87648573,63.29832997,65325200
11/25/2019,64.20951843,64.22639397,63.28145956,63.32726038,84020400
11/26/2019,63.70810699,64.39993018,63.27661866,64.34689805,105207600
11/27/2019,64.56386566,64.59761673,63.95399968,64.01908158,65235600
11/29/2019,64.42163849,64.60242887,64.09621433,64.26495496,46617600
12/2/2019,63.6767807,64.66268998,63.50563454,64.42645458,94487200
12/3/2019,62.54141998,62.56070105,61.77968899,62.26661508,114430400
12/4/2019,63.09342957,63.47188586,62.83791308,62.93192761,67181600
12/5/2019,64.01908875,64.09382222,63.33209105,63.58760758,74424400
12/6/2019,65.2556839,65.32559157,64.43368941,64.47708469,106075600
12/9/2019,64.34208679,65.2773694,63.85756628,65.0845293,128042400
12/10/2019,64.71812439,65.10139903,64.08655728,64.74704967,90420400
12/11/2019,65.27014923,65.34970112,64.72295963,64.79768574,78756800
12/12/2019,65.43648529,65.70164603,64.43852604,64.54940876,137310400
12/13/2019,66.32595825,66.36211485,65.30871082,65.43646905,133587600
12/16/2019,67.46133423,67.68551992,66.76710524,66.77192367,128186000
12/17/2019,67.59388733,67.92171692,67.20578694,67.39140305,114158400
12/18/2019,67.43240356,67.95308078,67.28295135,67.44686621,116028400
12/19/2019,67.49990845,67.77953185,67.24198637,67.37456307,98369200
12/20/2019,67.36006927,68.13384985,67.14794077,68.03261138,275978000
12/23/2019,68.45929718,68.51956065,67.58427048,67.62283998,98572000
12/24/2019,68.52437592,68.67383548,68.1989591,68.62562177,48478800
12/26/2019,69.88393402,69.90080956,68.62804532,68.65697061,93121200
12/27/2019,69.85738373,70.86258125,69.45241514,70.17557649,146266000
12/30/2019,70.27199554,70.5540317,68.75335967,69.77542534,144114400
12/31/2019,70.78543854,70.79266986,69.78988528,69.88871821,100805600
1/2/2020,72.40052032,72.46078378,71.15668166,71.40978524,135480400
1/3/2020,71.69665527,72.45597354,71.47247693,71.62916048,146322800
1/6/2020,72.26793671,72.3065062,70.56851011,70.81920816,118387200
1/7/2020,71.92803955,72.53307952,71.70867973,72.27756311,108872000
1/8/2020,73.08509827,73.3864155,71.63154423,71.63154423,132079200
1/9/2020,74.63749695,74.83033707,73.81068409,74.06137478,170108400
1/10/2020,74.80622864,75.37030105,74.30483993,74.87131788,140644800
1/13/2020,76.40442657,76.43094632,75.00390429,75.12202568,121532000
1/14/2020,75.37271881,76.55147571,75.24978635,76.34176003,161954400
