Price,Close,High,Low,Open,Volume,Returns,MA_5,MA_10,MA_20,Price_to_MA5,Price_to_MA10,Price_to_MA20,Momentum_5,Momentum_10,Volatility_5,Volatility_10,High_Low_Spread_Pct,Volume_Change,Volume_MA_5,Volume_Ratio,RSI,Returns_Lag_1,Returns_Lag_2,Returns_Lag_3,Close_Price,Target_Return
1/30/2019,39.24449921,39.45823482,38.05232036,38.76952796,244439200,6.833463662929518,37.365509036000006,37.084087374,36.466506196,1.0502867543485002,1.0582571121195956,1.0761793027022897,7.360999956497238,7.957142071450529,3.510891161381325,2.6095507754904306,3.582449740221817,46.94377116035704,150292880.0,1.6264190292979948,66.96996540184912,-1.0364703946670994,-0.9254268156135059,3.313682701809695,39.24449921,0.7201505324037516
1/31/2019,39.52711868,40.13508147,39.08064443,39.44874797,162958400,0.7201505324037516,38.018123628,37.357197191,36.5676755915,1.0396914657536818,1.0580857679955384,1.080930577091094,8.99809410454273,7.422265049715837,3.326589560785061,2.605327960532912,2.667629402832059,-33.333769706331886,162531360.0,1.0026274314076988,67.61441216597183,6.833463662929518,-1.0364703946670994,-0.9254268156135059,39.52711868,0.04803221341200814
2/1/2019,39.54610443,40.130317,39.40598517,39.65059868,130672400,0.04803221341200814,38.434200288,37.610357668000006,36.8565769205,1.028930070969817,1.0514684486408643,1.0729727971021654,5.552764599889604,6.839494774356769,3.270568795377422,2.6146220820873656,1.8316136075605793,-19.81241838407839,161837440.0,0.8074299741765564,70.65323566983132,0.7201505324037516,6.833463662929518,-1.0364703946670994,39.54610443,2.8404786418048777
2/4/2019,40.66940308,40.76677303,39.72658509,39.75745937,125982000,2.8404786418048777,39.144280244,37.953048708,37.129566194,1.0389615756502195,1.0715714406212493,1.09533741567312,9.564911404827514,9.201613945245747,3.109118500791216,2.700497710399678,2.5576670942375745,-3.589434341146258,166080160.0,0.7585614079369866,78.80188769759786,0.04803221341200814,0.7201505324037516,6.833463662929518,40.66940308,1.7109548144368825
2/5/2019,41.36523819,41.57897739,40.93064275,41.0517591,144406400,1.7109548144368825,40.070472718000005,38.448918535000004,37.4412660615,1.0323122085709355,1.0758491985241476,1.1048034038714019,12.606652143333296,13.620350302160755,2.6773758031918353,2.4655649208413983,1.5673417303245114,14.624628915241855,161691680.0,0.8930972824328376,78.72113049223164,2.8404786418048777,0.04803221341200814,0.7201505324037516,41.36523819,0.034425669047499774
2/6/2019,41.37947845,41.69533463,41.04937373,41.47684476,112958400,0.034425669047499774,40.497468566,38.931488801,37.720192529,1.0217793831375548,1.0628794254828786,1.0970113267101347,5.440199984654104,13.201653059655083,1.2025640762160346,2.483403913571625,1.5610658331050054,-21.777428147228928,135395520.0,0.834284620347852,77.61879849364107,1.7109548144368825,2.8404786418048777,0.04803221341200814,41.37947845,-1.8939039817694958
2/7/2019,40.59579086,41.30824769,40.45329805,40.94251783,126966800,-1.8939039817694958,40.711203002,39.364663315,37.929536438999996,0.9971651011640622,1.0312749415674762,1.0702949382281008,2.703643006847156,11.945013453396891,1.8086281859977604,2.6066275999682214,2.1060056274021335,12.401379622940834,128197200.0,0.9904022864773958,70.20378230401934,0.034425669047499774,1.7109548144368825,2.8404786418048777,40.59579086,0.11751614881583272
2/8/2019,40.64349747,40.70312351,40.16887285,40.30482197,95280000,0.11751614881583272,40.93068161,39.682440949000004,38.135447312500006,0.9929836462843111,1.0242186845873507,1.0657669002004313,2.774971279263383,8.481823502005014,1.8040875094619906,2.5079087182344093,1.3144800355686463,-24.956760349949747,121118720.0,0.7866661734866419,69.58509312191906,-1.8939039817694958,0.034425669047499774,1.7109548144368825,40.64349747,-0.5751118741012196
2/11/2019,40.40975189,40.83429258,40.3668229,40.79613105,83973600,-0.5751118741012196,40.878751371999996,40.011515808,38.347601128499996,0.9885270595050211,1.0099530366185323,1.0537752219386525,-0.6384435726515258,8.865401270082064,1.3025466792235156,2.482752604031004,1.156823930205033,-11.866498740554155,112717040.0,0.744994723069378,74.77103589005331,0.11751614881583272,-1.8939039817694958,0.034425669047499774,40.40975189,0.8617152882994361
2/12/2019,40.7579689,40.7842045,40.47414842,40.56955225,89134000,0.8617152882994361,40.757297514,40.413885116,38.6043575295,1.0000164727801142,1.0085139991617331,1.0557867429565249,-1.468066706664839,10.953511373727153,1.030965633742841,2.3908130990405705,0.7607250517333862,6.14526470223975,101662560.0,0.8767632843398789,75.38331638809134,-0.5751118741012196,0.11751614881583272,-1.8939039817694958,40.7579689,-0.415463318143916
