,Price,Close,High,Low,Open,Volume,Returns,MA_5,MA_10,MA_20,Price_to_MA5,Price_to_MA10,Price_to_MA20,Momentum_5,Momentum_10,Volatility_5,Volatility_10,High_Low_Spread_Pct,Volume_Change,Volume_MA_5,Volume_Ratio,RSI,Returns_Lag_1,Returns_Lag_2,Returns_Lag_3,Close_Price,Target_Return
19,1/20/2021,35547.75,36378.32813,33570.47656,36050.11328,66834573161.0,-1.4473454860284618,36043.409376,36303.571877,35944.37549,0.9862482660608115,0.9791805093019277,0.9889655757098814,-3.4693942993375915,-7.3226068601550125,1.714973607391709,5.2270521625108675,7.89881657770182,16.753450011094117,56731302657.4,1.1780898733211467,47.02135552754754,-1.5295342472827933,2.3435790570753623,-1.0693288357644382,35547.75,-13.283684002503682
20,1/21/2021,30825.69922,35552.67969,30250.75,35549.39844,75643067688.0,-13.283684002503682,34972.921094,35829.476174,36016.952833999996,0.8814162001837615,0.8603446801817594,0.8558663849791464,-14.794683521025398,-13.329779995835288,5.970939060413123,6.30863467708651,17.19970616776815,13.17954781544115,60318678620.0,1.2540571083219794,31.899143299457535,-1.4473454860284618,-1.5295342472827933,2.3435790570753623,30825.69922,7.072224005175398
21,1/22/2021,33005.76172,33811.85156,28953.37305,30817.625,77207272511.0,7.072224005175398,34415.81797,35737.75625200001,36060.877541,0.9590288322878413,0.9235543912512103,0.9152789385802818,-7.782666132697457,-2.7037711172154366,7.5337425972815355,6.684289215181283,14.720092059126713,2.0678759743745,65288162255.0,1.1825615830546248,34.005765172257014,-13.283684002503682,-1.4473454860284618,-1.5295342472827933,33005.76172,-2.8422890159554903
22,1/23/2021,32067.64258,33360.97656,31493.16016,32985.75781,48354737975.0,-2.8422890159554903,33503.33164199999,35212.884571999995,36025.158498,0.9571478718194043,0.9106792292017741,0.890145773592649,-12.455425595367531,-14.065457850674179,7.246349050898507,5.694815489496547,5.824614002542632,-37.37022899220961,65056769364.2,0.7432698925503218,33.463042700683445,7.072224005175398,-13.283684002503682,-1.4473454860284618,32067.64258,0.6914643926407393
23,1/24/2021,32289.37891,32944.00781,31106.68555,32064.37695,48643830599.0,0.6914643926407393,32747.246485999996,34523.089649999994,36041.031740499995,0.9860181351065427,0.9352980639147401,0.8959060645790505,-10.480860133540126,-17.602499453692666,7.380352012340712,5.3088591914527665,5.690175289903105,0.5978579061879374,63336696386.8,0.7680197006476305,36.85473506956713,-2.8422890159554903,7.072224005175398,-13.283684002503682,32289.37891,0.2385108435026373
24,1/25/2021,32366.39258,34802.74219,32087.78711,32285.79883,59897054838.0,0.2385108435026373,32110.975002,34077.192189,35959.72988499999,1.007954214345223,0.9497963447366347,0.9000732954198609,-8.94953244579474,-12.108432176640571,7.447937470540085,5.118881533976927,8.388191774197395,23.133918732196523,61949192722.2,0.9668738559128214,42.142433711399875,0.6914643926407393,-2.8422890159554903,7.072224005175398,32366.39258,0.6286058277799045
25,1/26/2021,32569.84961,32794.55078,31030.26563,32358.61328,60255421470.0,0.6286058277799045,32459.80508,33716.363087,35747.0042015,1.0033901783984467,0.9659953395909995,0.9111210949708989,5.658104873963032,-9.973677356452914,3.6167572259407423,5.143405040920801,5.416927529988666,0.5983042621532153,58871663478.6,1.0235046524870661,46.424876175337765,0.2385108435026373,0.6914643926407393,-2.8422890159554903,32569.84961,-6.562212462116435
26,1/27/2021,30432.54688,32564.0293,29367.13867,32564.0293,62576762015.0,-6.562212462116435,31945.162112,33180.490041,35300.079397,0.9526496304292725,0.9171819597117326,0.8621098705683458,-7.796259519260684,-14.972168802735442,3.1527647206310756,5.445579692696921,10.504840894867613,3.8525007183888738,55945561379.4,1.1185295217726015,30.518852852568344,0.6286058277799045,0.2385108435026373,0.6914643926407393,30432.54688,9.968113388477583
27,1/28/2021,33466.09766,33858.3125,30023.20703,30441.04102,76517157706.0,9.968113388477583,32224.853128,32864.092385,34933.503811,1.038518237059752,1.0183180252765711,0.9579943037223212,4.360953807287937,-8.63764714479468,5.882747154871773,6.475153653417706,11.459673335573475,22.277272332592734,61578045325.6,1.2426045240865957,34.80857876963138,-6.562212462116435,0.6286058277799045,0.2385108435026373,33466.09766,2.540747560825718
28,1/29/2021,34316.38672,38406.26172,32064.81445,34318.67188,117895000000.0,2.540747560825718,32630.25469,32688.750588000003,34636.595803,1.0516738850498994,1.049791934617333,0.9907551803063666,6.277630225251074,-4.861179551898465,5.917091106987812,6.5452270904660335,18.479356004879527,54.076554245500176,75428279205.8,1.5630079492909146,42.75647998579894,9.968113388477583,-6.562212462116435,0.6286058277799045,34316.38672,-0.13656239621723243
29,1/30/2021,34269.52344,34834.70703,32940.1875,34295.93359,65141828798.0,-0.13656239621723243,33010.880862000005,32560.927932,34432.2499045,1.0381281124627262,1.052473796556665,0.9952740101227385,5.879959761644837,-3.595801590817993,5.937250182980532,6.5328009129648255,5.528292604701591,-44.745893551041185,76477233997.8,0.851780659325021,44.291876613442874,2.540747560825718,9.968113388477583,-6.562212462116435,34269.52344,-3.370820320925927
30,1/31/2021,33114.35938,34288.33203,32270.17578,34270.87891,52754542671.0,-3.370820320925927,33119.782816,32789.793948,34309.635061,0.9998362478392407,1.009898367538226,0.9651620986677681,1.671821566633258,7.4245198581419425,6.30619517847312,4.85933088200712,6.094504884847319,-19.015870993447326,74977058238.0,0.7036091293891663,42.34585914695915,-0.13656239621723243,2.540747560825718,9.968113388477583,33114.35938,1.2768370215108682
31,2/1/2021,33537.17578,34638.21484,32384.22852,33114.57813,61400400660.0,1.2768370215108682,33740.708596,32842.935354,34290.345803,0.9939677373573557,1.0211381966476831,0.9780355080894487,10.201672939967876,1.610064523001098,4.942198941416339,4.350093420389413,6.72085906930831,16.38884075428213,74741785967.0,0.8215003142567333,40.94094154145651,-3.370820320925927,-0.13656239621723243,2.540747560825718,33537.17578,5.883361476062854
32,2/2/2021,35510.28906,35896.88281,33489.21875,33533.19922,63088585433.0,5.883361476062854,34149.546876,33187.200002,34200.042287000004,1.039846566308507,1.0699995497619565,1.038311261781628,6.108245487024022,10.73557705843684,3.406196073223034,4.533659390312255,6.780187161900851,2.7494686595747053,72056071512.4,0.8755485014492249,48.48645334296689,1.2768370215108682,-3.370820320925927,-0.13656239621723243,35510.28906,5.524598171209583
33,2/3/2021,37472.08984,37480.1875,35443.98438,35510.82031,61166818159.0,5.524598171209583,34780.6875,33705.471095,34114.2803725,1.0773820914264562,1.111750959788803,1.0984282661347529,9.195907324825715,16.05082260778612,3.914764793283543,4.7364788349135,5.4339192948519,-3.0461410107869846,60710435144.2,1.0075173734748564,54.82936058257726,5.883361476062854,1.2768370215108682,-3.370820320925927,37472.08984,-1.4571469921518587
34,2/4/2021,36926.06641,38592.17578,36317.5,37475.10547,68838074392.0,-1.4571469921518587,35311.996093999995,34161.438478,34119.3153335,1.0457088382005757,1.0809283231378102,1.0822628194342514,7.751911037371584,14.087680048772366,4.120230378225914,4.820212809949848,6.160081484834219,12.541532261918476,61449684263.0,1.1202347940044453,69.36955020617559,5.524598171209583,5.883361476062854,1.2768370215108682,36926.06641,3.2991387885011436
35,2/5/2021,38144.30859,38225.90625,36658.76172,36931.54688,58598066402.0,3.2991387885011436,36317.985936,34718.884376,34217.623731499996,1.0502870026222921,1.0986617017097438,1.1147562112820004,15.18963164070124,17.11539674499589,3.0646173281195166,4.844822304706803,4.108462278985557,-14.875500339663827,62618389009.2,0.9357964541916062,67.37698961207725,-1.4571469921518587,5.524598171209583,5.883361476062854,38144.30859,2.940682821274332
36,2/6/2021,39266.01172,40846.54688,38138.38672,38138.38672,71326033653.0,2.940682821274332,37463.753124,35602.230859999996,34391.3604505,1.0481067283898322,1.1029087439606589,1.1417405768671514,17.082046435813524,29.02637388461653,2.9309985154079943,3.881006202641723,6.896957550238309,21.72079734454444,64603515607.8,1.1040580838666982,74.04413296009864,3.2991387885011436,-1.4571469921518587,5.524598171209583,39266.01172,-0.9233693316892944
37,2/7/2021,38903.44141,39621.83594,37446.15234,39250.19141,65500641143.0,-0.9233693316892944,38142.383594,36145.965234999996,34505.02881,1.0199530743568872,1.0762872469187779,1.1274716396911189,9.555406164863234,16.247319317719345,2.9756292030134177,3.0339558038561023,5.592522206636312,-8.167273871333492,65085926749.8,1.0063717982351887,71.88650510649099,2.940682821274332,3.2991387885011436,-1.4571469921518587,38903.44141,18.746473745444426
38,2/8/2021,46196.46484,46203.92969,38076.32422,38886.82813,101467000000.0,18.746473745444426,39887.258594,37333.97304699999,35011.3618175,1.1581759807115213,1.2373841054056303,1.319470664431832,23.28232836025885,34.6192570241556,8.242175823866305,6.245598287011673,17.59356586732275,54.909934054658784,73145963118.0,1.387185234492191,80.97312973963784,-0.9233693316892944,2.940682821274332,3.2991387885011436,46196.46484,0.6161524068688973
39,2/9/2021,46481.10547,48003.72266,45166.96094,46184.99219,91809846886.0,0.6161524068688973,41798.266406,38555.13125,35558.029591,1.1120342891380728,1.2055750807488175,1.3071901341171255,25.876135719163386,35.63394177739405,7.911748895885798,6.205616472536322,6.103042712335908,-9.517530935180895,77740317616.8,1.1809811137967297,81.04206635279036,18.746473745444426,-0.9233693316892944,2.940682821274332,46481.10547,-3.362488615957615
40,2/10/2021,44918.18359,47145.56641,43881.15234,46469.76172,87301089896.0,-3.362488615957615,43153.041406000004,39735.513671,36262.6538095,1.0409042358658542,1.1304291662594623,1.2386899156904079,17.758547081846586,35.645636609020826,8.770558269762246,6.204628733057675,7.267466778702836,-4.910973215758119,83480922315.6,1.0457609651934348,83.17414175842528,0.6161524068688973,18.746473745444426,-0.9233693316892944,44918.18359,6.659103732471294
41,2/11/2021,47909.33203,48463.46875,44187.76172,44898.71094,81388911810.0,6.659103732471294,44881.705468,41172.729296,37007.832325,1.067457921449947,1.1636180755851537,1.294572770684428,22.012218535547245,42.8544023631557,8.857523624560075,6.247318307455513,8.92458076293492,-6.772169846955012,85493497947.0,0.9519894935221325,83.14139989174063,-3.362488615957615,0.6161524068688973,18.746473745444426,47909.33203,-0.8442623865987486
42,2/12/2021,47504.85156,48745.73438,46424.97656,47877.03516,76555041196.0,-0.8442623865987486,46601.987498,42372.185546,37779.692774,1.0193739389771466,1.1211329070677245,1.2574176249705467,22.109638217736283,33.77771011588606,8.845818675232914,6.3584123837647475,4.885306960845493,-5.9392250203375685,87704377957.6,0.8728759382229463,80.89427630241829,6.659103732471294,-3.362488615957615,0.6161524068688973,47504.85156,-0.8406213615795188
43,2/13/2021,47105.51563,48047.74609,46392.28125,47491.20313,70250456155.0,-0.8406213615795188,46783.797655999995,43335.528125,38520.49961,1.006876696423099,1.086995305425276,1.2228687609693234,1.967792975389937,25.7082693576292,3.7568725699893437,6.409334137558196,3.5143757962511035,-8.235362351721154,81461069188.6,0.8623807280549558,79.58012962294458,-0.8442623865987486,6.659103732471294,-3.362488615957615,47105.51563,3.4216235794126693
44,2/14/2021,48717.28906,49487.64063,47114.50781,47114.50781,71248675228.0,3.4216235794126693,47231.034373999995,44514.65039,39338.044434,1.0314677564380883,1.0944102364767556,1.2384268145747857,4.810951820935694,31.93197596266795,3.990926927933393,6.260001051280495,4.87123332555976,1.4209431904577796,77348834857.0,0.9211344341478734,85.21534672253617,-0.8406213615795188,-0.8442623865987486,6.659103732471294,48717.28906,-1.5851261121055504
45,2/15/2021,47945.05859,48875.57031,46347.47656,48696.53516,77069903166.0,-1.5851261121055504,47836.409373999995,45494.72539,40106.804883,1.0022712661218058,1.0538597206378257,1.1954345086791591,6.738640697558984,25.693872460358058,3.560408826249721,6.42007183443675,5.272897404545648,8.170296387086108,75302597511.0,1.0234693850333894,82.01323784014919,3.4216235794126693,-0.8406213615795188,-0.8442623865987486,47945.05859,2.6171883754079195
